125, 3.22. 00시 기준 1.3 이후 누계,경기,337,(+16),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:08
126, 3.22. 00시 기준 1.3 이후 누계,강원,30,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:10
127, 3.22. 00시 기준 1.3 이후 누계,충북,35,(+1),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:12
128, 3.22. 00시 기준 1.3 이후 누계,충남,120,(+1),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:14
129, 3.22. 00시 기준 1.3 이후 누계,전북,10,0,http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:16
130, 3.22. 00시 기준 1.3 이후 누계,전남,6,(+1),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:18
131, 3.22. 00시 기준 1.3 이후 누계,경북,"1,254",(+11),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:20
132, 3.22. 00시 기준 1.3 이후 누계,경남,88,(+1),http://ncov.mohw.go.kr/,2020-03-22 오전 10:47:22
133, 3.23. 00시 기준 1.3 이후 누계,서울,330,(+6),http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:47
134, 3.23. 00시 기준 1.3 이후 누계,부산,109,(+1),http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:50
135, 3.23. 00시 기준 1.3 이후 누계,대구,"6,411",(+24),http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:53
136, 3.23. 00시 기준 1.3 이후 누계,인천,40,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:55
137, 3.23. 00시 기준 1.3 이후 누계,광주,19,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:57
138, 3.23. 00시 기준 1.3 이후 누계,대전,24,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:46:59
139, 3.23. 00시 기준 1.3 이후 누계,울산,36,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:01
140, 3.23. 00시 기준 1.3 이후 누계,세종,42,(+1),http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:04
141, 3.23. 00시 기준 1.3 이후 누계,경기,351,(+14),http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:07
142, 3.23. 00시 기준 1.3 이후 누계,강원,30,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:10
143, 3.23. 00시 기준 1.3 이후 누계,충북,37,(+2),http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:12
144, 3.23. 00시 기준 1.3 이후 누계,충남,120,0,http://ncov.mohw.go.kr/,2020-03-23 오전 10:47:14
